name,id,type,info,url
聯享寵物貿易有限公司,718,,"「吹毛求吃」由最懂你的毛孩——聯享寵物，與四間在寵物食用品領域，有知名口碑的公司——維逸、展聖、廣湛、嵩颺聯手打造，為毛爸媽在第一線把關。
「吹毛求吃」代表我們絕對的信念，將毛孩視為家人，為您定位優質與營養，讓您能放心帶著毛孩，邁向健康樂齡。

V擁有原廠直送保證
V超過1000坪的低溫倉儲
V五道...",https://www.chanchao.com.tw/petsshow/kaohsiungARENA/visitorExhibitorDetail.asp?comNo=237075&sno=192593
水魔素股份有限公司,620,,"參展商品包括除臭噴霧, 犬貓專用潔牙水, 犬貓專用洗毛精, 潔耳液, 寵物友善黑肥皂液, 馬賽皂洗碗酵素",https://www.chanchao.com.tw/petsshow/kaohsiungARENA/visitorExhibitorDetail.asp?comNo=261910&sno=188220
聯合東方國際股份有限公司,520,,,https://www.chanchao.com.tw/petsshow/kaohsiungARENA/visitorExhibitorDetail.asp?comNo=237057&sno=192469
豪翼行銷有限公司,320,,,https://www.chanchao.com.tw/petsshow/kaohsiungARENA/visitorExhibitorDetail.asp?comNo=291515&sno=195994
瀚翔寵物有限公司,420,,,https://www.chanchao.com.tw/petsshow/kaohsiungARENA/visitorExhibitorDetail.asp?comNo=291679&sno=195995
螢火蟲原創有限公司,222,,"堅持以毛孩為核心，擁有專業團隊精心研發專屬毛孩的每道寵愛的盛宴
採用人食用等級的新鮮食材，優良品質研發多款寵物食品
讓毛孩吃的健康快樂，每天喜樂開心，陪伴我們長久~",https://www.chanchao.com.tw/petsshow/kaohsiungARENA/visitorExhibitorDetail.asp?comNo=237074&sno=187884
鴻苗寵物用品有限公司,122,,"艾澌克寵物食品集團自1990年成立，始終秉持著「提供寵物健康食糧與醫療保健品」的熱忱與初心
建構了由獸醫師與寵物專業人士所組成的專業團隊，給予即時的售後服務及營養醫療諮詢，同時觀察全球寵食趨勢，不斷在市場上推陳出新，引進全球寵物營養概念！
1994年推出耐吉斯自然寵糧食譜，在市場大獲好評並成為台灣寵...",https://www.chanchao.com.tw/petsshow/kaohsiungARENA/visitorExhibitorDetail.asp?comNo=237071&sno=195310
艾穎實業有限公司,1029,,臭味滾以實驗研發、專業認證為主的團隊，同時身為產品開發者與使用者，產品的安全與功效是我們最重視的，絕不會因為是寵物用品而馬虎行事。 產品研發過程中，我們不會因為是寵物用品用使用對人體還是寵物有害的物質，例如: 酒精、揮發性溶劑，雖然會大大提升我們研發的困難度，但產品安全是我們首要重視的條件。 臭味滾...,https://www.chanchao.com.tw/petsshow/kaohsiungARENA/visitorExhibitorDetail.asp?comNo=278659&sno=191767
唯寵股份有限公司,824,,"「我們珍惜每個毛孩子，就像自己的家人一樣」

陪心寵糧—台灣在地寵物飲食專家
擁有全台唯一客製化寵糧服務及專業的營養研發團隊
致力於毛孩的飲食研究，不以成本為優先考量，堅持選用最天然、純粹的食材，解密毛孩的生理數據，產出最合適的糧食及保健品。

生產以人類食安的製程標準",https://www.chanchao.com.tw/petsshow/kaohsiungARENA/visitorExhibitorDetail.asp?comNo=271259&sno=195243
沛緹雅股份有限公司,2001,,,https://www.chanchao.com.tw/petsshow/kaohsiungARENA/visitorExhibitorDetail.asp?comNo=237028&sno=193003
